Datetime,rf-a,rf-a-sum,wl-a,wl-ch-a
1/1/2024 0:00,0,0,190.96,0
1/1/2024 0:10,0,0,190.96,0
1/1/2024 0:20,0,0,190.959,-0.001
1/1/2024 0:30,0,0,190.961,0.002
1/1/2024 0:40,0,0,190.957,-0.004
1/1/2024 0:50,0,0,190.958,0.001
1/1/2024 1:00,0,0,190.959,0.001
1/1/2024 1:10,0,0,190.961,0.002
1/1/2024 1:20,0,0,190.959,-0.002
1/1/2024 1:30,0,0,190.961,0.002
1/1/2024 1:40,0,0,190.961,0
1/1/2024 1:50,0,0,190.96,-0.001
1/1/2024 2:00,0,0,190.962,0.002
1/1/2024 2:10,0,0,190.961,-0.001
1/1/2024 2:20,0,0,190.959,-0.002
1/1/2024 2:30,0,0,190.961,0.002
1/1/2024 2:40,0,0,190.96,-0.001
1/1/2024 2:50,0,0,190.96,0
1/1/2024 3:00,0,0,190.96,0
1/1/2024 3:10,0,0,190.958,-0.002
1/1/2024 3:20,0,0,190.961,0.003
1/1/2024 3:30,0,0,190.96,-0.001
1/1/2024 3:40,0,0,190.96,0
1/1/2024 3:50,0,0,190.96,0
1/1/2024 4:00,0,0,190.959,-0.001
1/1/2024 4:10,0,0,190.957,-0.002
1/1/2024 4:20,0,0,190.961,0.004
1/1/2024 4:30,0,0,190.961,0
1/1/2024 4:40,0,0,190.958,-0.003
1/1/2024 4:50,0,0,190.96,0.002
1/1/2024 5:00,0,0,190.962,0.002
1/1/2024 5:10,0,0,190.96,-0.002
1/1/2024 5:20,0,0,190.961,0.001
1/1/2024 5:30,0,0,190.96,-0.001
1/1/2024 5:40,0,0,190.961,0.001
1/1/2024 5:50,0,0,190.961,0
1/1/2024 6:00,0,0,190.96,-0.001
1/1/2024 6:10,0,0,190.961,0.001
1/1/2024 6:20,0,0,190.961,0
1/1/2024 6:30,0,0,190.958,-0.003
1/1/2024 6:40,0,0,190.958,0
1/1/2024 6:50,0,0,190.96,0.002
1/1/2024 7:00,0,0,190.961,0.001
1/1/2024 7:10,0,0,190.961,0
1/1/2024 7:20,0,0,190.957,-0.004
1/1/2024 7:30,0,0,190.961,0.004
1/1/2024 7:40,0,0,190.961,0
1/1/2024 7:50,0,0,190.96,-0.001
1/1/2024 8:00,0,0,190.96,0
1/1/2024 8:10,0,0,190.96,0
1/1/2024 8:20,0,0,190.962,0.002
1/1/2024 8:30,0,0,190.962,0
1/1/2024 8:40,0,0,190.963,0.001
1/1/2024 8:50,0,0,190.962,-0.001
1/1/2024 9:00,0,0,190.962,0
1/1/2024 9:10,0,0,190.962,0
1/1/2024 9:20,0,0,190.963,0.001
1/1/2024 9:30,0,0,190.962,-0.001
1/1/2024 9:40,0,0,190.962,0
1/1/2024 9:50,0,0,190.964,0.002
1/1/2024 10:00,0,0,190.964,0
1/1/2024 10:10,0,0,190.961,-0.003
1/1/2024 10:20,0,0,190.96,-0.001
1/1/2024 10:30,0,0,190.961,0.001
1/1/2024 10:40,0,0,190.961,0
1/1/2024 10:50,0,0,190.962,0.001
1/1/2024 11:00,0,0,190.962,0
